trade_id,side,type,price,qty,pos_price,pos_size,liq_price,pnl,fee_paid,pnl_plus_fee,fee_paid_cumsum,apparent_balance,actual_balance,profit_cumsum,loss_cumsum,pnl_plus_fees_cumsum,average_daily_gain,timestamp,closest_long_liq,closest_shrt_liq,closest_liq,avg_gain_per_tick,millis_since_prev_trade,progress,reentry_price
41605,long,entry,1123.85,25820.0,1123.85,25820.0,356.86827982197866,0.0,0.005743649063487121,0.005743649063487121,0.005743649063487121,21.302446794501048,50.00574364906349,0.0,0.0,0.005743649063487121,1.0007274237454962,1610583046414.0,1.0,1.0,1.0,1.0001148729812699,0.0,0.0050742520219561865,1118.25
41617,long,close,1124.65,-25820.0,1123.85,0.0,0.0,0.016342575026153182,0.005739563419730582,0.022082138445883765,0.011483212483217703,21.31185378547899,50.02782578750937,0.016342575026153182,0.0,0.027825787509370887,1.0035278280448765,1610583048010.0,0.6823319567189081,1.0,0.6823319567189081,1.0002782191721398,1596.0,0.005075715572593453,
41823,long,entry,1123.45,25826.0,1123.45,25826.0,356.7491399724979,0.0,0.005747029240286617,0.005747029240286617,0.01723024172350432,21.314302019935354,50.03357281674966,0.016342575026153182,0.0,0.0335728167496575,1.0042303567429356,1610583136230.0,1.0,1.0,1.0,1.0002237687021642,88220.0,0.005100839858533195,1117.2
42195,long,close,1124.25,-25826.0,1123.45,0.0,0.0,0.016358010735081824,0.005742939737602846,0.02210095047268467,0.022973181461107165,21.323717024836718,50.055673767222345,0.03270058576123501,0.0,0.05567376722234217,1.0069384443723972,1610583303860.0,0.6813744116710598,1.0,0.6813744116710598,1.0002782526777376,167630.0,0.005146209928288458,
42532,long,entry,1122.0,25807.0,1122.0,25807.0,356.2884599696034,0.0,0.005750222816399287,0.005750222816399287,0.028723404277506453,21.326166619756506,50.06142399003875,0.03270058576123501,0.0,0.06142399003874146,1.0075466031737024,1610583507191.0,1.0,1.0,1.0,1.0002455753160597,203331.0,0.005187311308685026,1116.15
42567,long,close,1122.8,-25807.0,1122.0,0.0,0.0,0.016388237453218494,0.005746125757035982,0.022134363210254478,0.03446953003454244,21.335595858484076,50.083558353249,0.0490888232144535,0.0,0.08355835324899594,1.0102687094313134,1610583519484.0,0.6822824505353992,1.0,0.6822824505353992,1.0002783340975987,12293.0,0.005191579998043721,
42620,long,entry,1121.8,25816.0,1121.8,25816.0,356.21757928205614,0.0,0.00575325369941166,0.00575325369941166,0.0402227837339541,21.338046744560025,50.089311606948414,0.0490888232144535,0.0,0.08931160694840759,1.0109651916827025,1610583537139.0,1.0,1.0,1.0,1.0002549808911787,17655.0,0.005198044013358314,1116.15
43086,long,reentry,1116.15,47811.0,1118.131072161028,73627.0,644.6284718980122,0.0,0.010708910092729472,0.010708910092729472,0.05093169382668357,21.34260874025953,50.100020517041145,0.0490888232144535,0.0,0.10002051704113707,1.012190306141906,1610583648260.0,0.6808372195304577,1.0,0.6808372195304577,1.0002498327260447,111121.0,0.005254878563105498,1109.85
43156,long,close,1118.9,-10518.0,1118.131072161028,63109.0,600.6931534744291,0.006464497338735254,0.002350075967468049,0.008814573306203303,0.05328176979415162,21.34636374848797,50.10883509034735,0.055553320553188755,0.0,0.10883509034734037,1.01325084526722,1610583669293.0,0.42240179929392746,1.0,0.42240179929392746,1.0002416220996657,21033.0,0.005263415941822887,1109.85
43442,long,close,1121.5,-12621.0,1118.131072161028,50488.0,536.5362690387784,0.0339073212599649,0.0028134195274186354,0.036720740787383535,0.05609518932157025,21.362006784063396,50.145555831134736,0.08946064181315366,0.0,0.14555583113472392,1.0175556861986697,1610583829568.0,0.463211515594094,1.0,0.463211515594094,1.0002907310069,160275.0,0.005298297232011072,1110.9
